seed,beta_target,redundancy,accepted,beta_hat,D,pearson_r_relevance_tokens,spearman_rho_relevance_tokens,n_usable,n_below_threshold,n_relevance_clipped_low,n_relevance_clipped_high,relevance_mean,relevance_median,relevance_std,relevance_min,relevance_max,tokens_mean,tokens_std,tokens_min,tokens_max,tokens_cv,tokens_total,similarity_mean,similarity_std,similarity_min,similarity_max
0,-0.5,low,True,-1.6117336011430763,0.1066666666666668,-0.5217607739266074,-0.6220171204169053,14,11,0,0,0.10722662392672708,0.06488652312340065,0.12363555834078858,0.008904141143039019,0.5454734721826284,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.026723073786323437,0.1433316116544719,-0.3356666390413333,0.40115536056614776
0,-0.5,high,True,-1.6117336011430763,0.1066666666666668,-0.5217607739266074,-0.6220171204169053,14,11,0,0,0.10722662392672708,0.06488652312340065,0.12363555834078858,0.008904141143039019,0.5454734721826284,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.11565846835034797,0.27655146463077945,-0.32783973781598225,0.7978739336218957
0,0.0,low,True,-1.135279456445168,0.16000000000000014,-0.5000348866014884,-0.47421107200100693,14,11,0,0,0.10029796763803073,0.06910803209057315,0.09443513043204264,0.011355031315350324,0.3816201799436846,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.025828678083948873,0.14356332748552186,-0.3340477668180554,0.4011948942656534
0,0.0,high,True,-1.135279456445168,0.16000000000000014,-0.5000348866014884,-0.47421107200100693,14,11,0,0,0.10029796763803073,0.06910803209057315,0.09443513043204264,0.011355031315350324,0.3816201799436846,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.11530982021052884,0.2785225433911371,-0.326849294805329,0.7990772780575299
0,0.5,low,True,-0.6129507058608453,0.2266666666666668,-0.40211982219927567,-0.305619798026623,16,9,0,0,0.09368007337397306,0.08318001779209844,0.0706101618529086,0.015374418517026388,0.24593609266643499,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.024863141048649114,0.1438297842784604,-0.33090979736331927,0.40153815845620594
0,0.5,high,True,-0.6129507058608453,0.2266666666666668,-0.40211982219927567,-0.305619798026623,16,9,0,0,0.09368007337397306,0.08318001779209844,0.0706101618529086,0.015374418517026388,0.24593609266643499,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.11471258966922711,0.27994987129218424,-0.32531479268411967,0.8005876181306607
0,1.0,low,True,-0.04171791353543023,0.28666666666666685,-0.13776974968224032,-0.10777524363659248,17,8,0,0,0.08877656710617206,0.08344258822045353,0.05420299588559762,0.015112594757420963,0.21762335239503783,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.024131397136003208,0.1440984181424386,-0.3247396335458833,0.40196094735431087
0,1.0,high,True,-0.04171791353543023,0.28666666666666685,-0.13776974968224032,-0.10777524363659248,17,8,0,0,0.08877656710617206,0.08344258822045353,0.05420299588559762,0.015112594757420963,0.21762335239503783,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.11419837755995099,0.2808871908289823,-0.32293515649168847,0.8020335655567931
0,1.5,low,True,0.5899507777672113,0.4600000000000001,0.37047927206439113,0.3633565356890832,19,6,0,0,0.08705583593169339,0.07694351423449595,0.04898478240299166,0.012948798480486398,0.20759300527175772,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.023870142562351964,0.1443248649715485,-0.3123628223053107,0.4023334622606539
0,1.5,high,True,0.5899507777672113,0.4600000000000001,0.37047927206439113,0.3633565356890832,19,6,0,0,0.08705583593169339,0.07694351423449595,0.04898478240299166,0.012948798480486398,0.20759300527175772,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.11399234319408312,0.281380994882905,-0.3192330031919485,0.8032147766597257
0,2.0,low,True,1.3163981166973608,0.44000000000000017,0.8321024946032048,0.7882989248847907,20,5,0,0,0.09112256943766488,0.06744158133571061,0.06622430472235892,0.011452889717840689,0.2658349151481327,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.02442911205516145,0.14441828952735838,-0.2968013088818108,0.40259872360872967
0,2.0,high,True,1.3163981166973608,0.44000000000000017,0.8321024946032048,0.7882989248847907,20,5,0,0,0.09112256943766488,0.06744158133571061,0.06622430472235892,0.011452889717840689,0.2658349151481327,92.72,44.187592527012974,35,216,0.47657023864336684,2318,0.11427539401967465,0.28113027397067225,-0.31340917859326645,0.8040629044002271
1,-0.5,low,True,-0.8626071789568275,0.16000000000000014,-0.32237213062262443,-0.38691067006142527,6,19,0,0,0.046622334007921644,0.02541348984027521,0.055029467074996355,0.0015887265070082817,0.21402707371899496,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.026761994309482992,0.1240840140768436,-0.3294572344743366,0.4181343335415891
1,-0.5,high,True,-0.8626071789568275,0.16000000000000014,-0.32237213062262443,-0.38691067006142527,6,19,0,0,0.046622334007921644,0.02541348984027521,0.055029467074996355,0.0015887265070082817,0.21402707371899496,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.11729601147977736,0.27009777481970754,-0.20076416666638092,0.8014477158956322
1,0.0,low,True,-0.3694836739818111,0.2266666666666668,-0.18717548294158098,-0.1555342395072794,6,19,0,0,0.04614469293646842,0.02547225900698747,0.05273521642502344,0.0017700597645232152,0.1800467232357872,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.026761006959231056,0.12413842143633316,-0.3269781320377587,0.41818792526188675
1,0.0,high,True,-0.3694836739818111,0.2266666666666668,-0.18717548294158098,-0.1555342395072794,6,19,0,0,0.04614469293646842,0.02547225900698747,0.05273521642502344,0.0017700597645232152,0.1800467232357872,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.1173168601212203,0.2701536510790065,-0.2009796571735464,0.80138805918353
1,0.5,low,True,0.13857000332139457,0.26666666666666683,-0.03062210744811092,0.02925891634295355,7,18,0,0,0.046808571474628524,0.024304628915528818,0.05341250500433869,0.0014357674626214905,0.22634219029560326,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.02684315682065287,0.12419516655341398,-0.3235195207409876,0.4182867494078359
1,0.5,high,True,0.13857000332139457,0.26666666666666683,-0.03062210744811092,0.02925891634295355,7,18,0,0,0.046808571474628524,0.024304628915528818,0.05341250500433869,0.0014357674626214905,0.22634219029560326,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.11737872266826929,0.2701417023898903,-0.20108465549683371,0.8013115317591247
1,1.0,low,True,0.6625398014638143,0.31333333333333346,0.1334516473842605,0.2590954039316808,9,16,0,0,0.04888259531653824,0.0292193842092633,0.05623957295522552,0.001344880630101164,0.26926338434300595,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.02704230912154145,0.12424036632350186,-0.3193151200715143,0.41847919435647285
