seed,beta,redundancy,w_sat,w_sat_proven,w_sat_status,w_sat_n_selected,corpus_token_mass,budget_tight,budget_medium,budget_loose,ordered,max_rho_dev,min_token,tight_affords_one,runtime_s
0,-0.5,low,838,True,proven_optimal,12,2318,210,503,1257,True,0.0005966587112171684,35,True,0.20978441706392914
0,-0.5,high,687,True,proven_optimal,10,2318,172,412,1030,True,0.0007278020378456151,35,True,0.04036620899569243
0,0.0,low,838,True,proven_optimal,12,2318,210,503,1257,True,0.0005966587112171684,35,True,0.019112334004603326
0,0.0,high,648,True,proven_optimal,9,2318,162,389,972,True,0.00030864197530866555,35,True,0.03141741594299674
0,0.5,low,838,True,proven_optimal,12,2318,210,503,1257,True,0.0005966587112171684,35,True,0.019167124992236495
0,0.5,high,648,True,proven_optimal,9,2318,162,389,972,True,0.00030864197530866555,35,True,0.035016791080124676
0,1.0,low,1059,True,proven_optimal,12,2318,265,635,1588,True,0.00047214353163371747,35,True,0.03837550000753254
0,1.0,high,648,True,proven_optimal,9,2318,162,389,972,True,0.00030864197530866555,35,True,0.05670145805925131
0,1.5,low,1275,True,proven_optimal,13,2318,319,765,1912,True,0.00039215686274518546,35,True,0.03236162499524653
0,1.5,high,842,True,proven_optimal,7,2318,210,505,1263,True,0.0005938242280285055,35,True,0.10833804192952812
0,2.0,low,1421,True,proven_optimal,12,2318,355,853,2132,True,0.00035186488388450066,35,True,0.016405832953751087
0,2.0,high,902,True,proven_optimal,7,2318,226,541,1353,True,0.0005543237250554278,35,True,0.07003233302384615
1,-0.5,low,769,True,proven_optimal,9,2301,192,461,1154,True,0.0006501950585175997,32,True,0.017109249951317906
1,-0.5,high,447,True,proven_optimal,5,2301,112,268,670,True,0.0011185682326622093,32,True,0.017852957942523062
1,0.0,low,769,True,proven_optimal,9,2301,192,461,1154,True,0.0006501950585175997,32,True,0.025280082947574556
1,0.0,high,447,True,proven_optimal,5,2301,112,268,670,True,0.0011185682326622093,32,True,0.017839499982073903
1,0.5,low,912,True,proven_optimal,10,2301,228,547,1368,True,0.00021929824561406353,32,True,0.017494458006694913
1,0.5,high,447,True,proven_optimal,5,2301,112,268,670,True,0.0011185682326622093,32,True,0.02788470801897347
1,1.0,low,858,True,proven_optimal,9,2301,214,515,1287,True,0.0005827505827505908,32,True,0.017542958026751876
1,1.0,high,447,True,proven_optimal,5,2301,112,268,670,True,0.0011185682326622093,32,True,0.1103560000192374
1,1.5,low,858,True,proven_optimal,9,2301,214,515,1287,True,0.0005827505827505908,32,True,0.01574429194442928
1,1.5,high,590,True,proven_optimal,6,2301,148,354,885,True,0.0008474576271186307,32,True,0.052854000008665025
1,2.0,low,1176,True,proven_optimal,11,2301,294,706,1764,True,0.0003401360544217358,32,True,0.05333150003571063
1,2.0,high,893,True,proven_optimal,7,2301,223,536,1340,True,0.0005599104143336753,32,True,0.053320165956392884
2,-0.5,low,698,True,proven_optimal,9,2182,174,419,1047,True,0.0007163323782234943,30,True,0.016470625065267086
2,-0.5,high,508,True,proven_optimal,7,2182,127,305,762,True,0.0003937007874016407,30,True,0.028910459019243717
2,0.0,low,698,True,proven_optimal,9,2182,174,419,1047,True,0.0007163323782234943,30,True,0.017311833915300667
2,0.0,high,643,True,proven_optimal,8,2182,161,386,964,True,0.0007776049766718973,30,True,0.027062916895374656
2,0.5,low,887,True,proven_optimal,9,2182,222,532,1330,True,0.0005636978579481866,30,True,0.018227958003990352
2,0.5,high,832,True,proven_optimal,8,2182,208,499,1248,True,0.00024038461538455902,30,True,0.02756112499628216
2,1.0,low,1193,True,proven_optimal,10,2182,298,716,1790,True,0.0004191114836546994,30,True,0.030504166963510215
2,1.0,high,885,True,proven_optimal,8,2182,221,531,1328,True,0.0005649717514124575,30,True,0.02643062500283122
2,1.5,low,1293,True,proven_optimal,10,2182,323,776,1940,True,0.0003866976024748947,30,True,0.017816541017964482
2,1.5,high,985,True,proven_optimal,8,2182,246,591,1478,True,0.0005076142131978933,30,True,0.017900333972647786
2,2.0,low,1293,True,proven_optimal,10,2182,323,776,1940,True,0.0003866976024748947,30,True,0.01831441605463624
2,2.0,high,1106,True,proven_optimal,8,2182,276,664,1659,True,0.000452079566003627,30,True,0.017359541030600667
3,-0.5,low,772,True,proven_optimal,10,2437,193,463,1158,True,0.0002590673575129099,27,True,0.02464495797175914
3,-0.5,high,719,True,proven_optimal,8,2437,180,431,1078,True,0.0006954102920724292,27,True,0.046172000002115965
3,0.0,low,1039,True,proven_optimal,11,2437,260,623,1558,True,0.00048123195380167516,27,True,0.041500208084471524
3,0.0,high,806,True,proven_optimal,8,2437,202,484,1209,True,0.000620347394540921,27,True,0.20864704193081707
3,0.5,low,1112,True,proven_optimal,11,2437,278,667,1668,True,0.00017985611510784594,27,True,0.016258709016256034
3,0.5,high,806,True,proven_optimal,8,2437,202,484,1209,True,0.000620347394540921,27,True,0.01638108293991536
3,1.0,low,1248,True,proven_optimal,12,2437,312,749,1872,True,0.0001602564102564097,27,True,0.015622999984771013
3,1.0,high,806,True,proven_optimal,8,2437,202,484,1209,True,0.000620347394540921,27,True,0.016150709008798003
3,1.5,low,1601,True,proven_optimal,14,2437,400,961,2402,True,0.00031230480949395734,27,True,0.016066292067989707
3,1.5,high,1012,True,proven_optimal,9,2437,253,607,1518,True,0.00019762845849802257,27,True,0.044105124892666936
3,2.0,low,1819,True,proven_optimal,15,2437,455,1091,2728,True,0.00027487630566236376,27,True,0.015928040957078338
3,2.0,high,1121,True,proven_optimal,9,2437,280,673,1682,True,0.000446030330062408,27,True,0.04295720800291747
4,-0.5,low,822,True,proven_optimal,11,2269,206,493,1233,True,0.0006082725060827521,14,True,0.015717417001724243
4,-0.5,high,504,True,proven_optimal,7,2269,126,302,756,True,0.0007936507936507908,14,True,0.0351412920281291
4,0.0,low,822,True,proven_optimal,11,2269,206,493,1233,True,0.0006082725060827521,14,True,0.015125875012017787
4,0.0,high,504,True,proven_optimal,7,2269,126,302,756,True,0.0007936507936507908,14,True,0.04750262503512204
4,0.5,low,957,True,proven_optimal,11,2269,239,574,1436,True,0.0005224660397074032,14,True,0.016114040976390243
4,0.5,high,752,True,proven_optimal,8,2269,188,451,1128,True,0.00026595744680846245,14,True,0.03478120791260153
4,1.0,low,1113,True,proven_optimal,11,2269,278,668,1670,True,0.0004492362982928544,14,True,0.015649375040084124
4,1.0,high,731,True,proven_optimal,7,2269,183,439,1096,True,0.0006839945280436854,14,True,0.07625941699370742
4,1.5,low,1113,True,proven_optimal,11,2269,278,668,1670,True,0.0004492362982928544,14,True,0.01622908399440348
4,1.5,high,897,True,proven_optimal,8,2269,224,538,1346,True,0.0005574136008918984,14,True,0.08065408293623477
4,2.0,low,1272,True,proven_optimal,12,2269,318,763,1908,True,0.00015723270440248793,14,True,0.0340060000307858
4,2.0,high,956,True,proven_optimal,8,2269,239,574,1434,True,0.00041841004184106634,14,True,0.04541249992325902
5,-0.5,low,622,True,proven_optimal,8,2047,156,373,933,True,0.0008038585209003135,33,True,0.14670020795892924
5,-0.5,high,601,True,proven_optimal,7,2047,150,361,902,True,0.0008319467554076532,33,True,0.035635750042274594
5,0.0,low,932,True,proven_optimal,9,2047,233,559,1398,True,0.00021459227467812703,33,True,0.07526966603472829
5,0.0,high,728,True,proven_optimal,7,2047,182,437,1092,True,0.00027472527472527375,33,True,0.04062770900782198
5,0.5,low,932,True,proven_optimal,9,2047,233,559,1398,True,0.00021459227467812703,33,True,0.07389154203701764
5,0.5,high,728,True,proven_optimal,7,2047,182,437,1092,True,0.00027472527472527375,33,True,0.05607758404221386
5,1.0,low,932,True,proven_optimal,9,2047,233,559,1398,True,0.00021459227467812703,33,True,0.054940582951530814
5,1.0,high,728,True,proven_optimal,7,2047,182,437,1092,True,0.00027472527472527375,33,True,0.1273220410803333
5,1.5,low,989,True,proven_optimal,9,2047,247,593,1484,True,0.0005055611729019027,33,True,0.02974045800510794
5,1.5,high,798,True,proven_optimal,7,2047,200,479,1197,True,0.0006265664160400863,33,True,0.023776291985996068
5,2.0,low,1020,True,proven_optimal,9,2047,255,612,1530,True,0.0,33,True,0.0303412500070408
5,2.0,high,798,True,proven_optimal,7,2047,200,479,1197,True,0.0006265664160400863,33,True,0.022142999921925366
6,-0.5,low,1185,True,proven_optimal,9,2728,296,711,1778,True,0.00042194092826997043,44,True,0.01681662502232939
6,-0.5,high,845,True,proven_optimal,6,2728,211,507,1268,True,0.0005917159763313418,44,True,0.08687270805239677
6,0.0,low,1314,True,proven_optimal,10,2728,328,788,1971,True,0.0003805175038051889,44,True,0.01723008300177753
6,0.0,high,1071,True,proven_optimal,7,2728,268,643,1606,True,0.00046685340802987696,44,True,0.03798441600520164
6,0.5,low,1383,True,proven_optimal,10,2728,346,830,2074,True,0.00036153289949392153,44,True,0.020547291031107306
6,0.5,high,1071,True,proven_optimal,7,2728,268,643,1606,True,0.00046685340802987696,44,True,0.02681483398191631
6,1.0,low,1473,True,proven_optimal,10,2728,368,884,2210,True,0.0003394433129666474,44,True,0.01866783306468278
6,1.0,high,1334,True,proven_optimal,8,2728,334,800,2001,True,0.00037481259370314435,44,True,0.033468375098891556
6,1.5,low,1682,True,proven_optimal,10,2728,420,1009,2523,True,0.00029726516052319685,44,True,0.020003499928861856
6,1.5,high,1334,True,proven_optimal,8,2728,334,800,2001,True,0.00037481259370314435,44,True,0.11192937497980893
